               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  92,            0.026318,             0.04308,           0.0014985,             0.85658,             0.63542,              0.7246,             0.41355,            0.049379,             0.07181,           0.0024819,           0.0081982,           0.0081982,           0.0081982
                  93,            0.027195,            0.040288,            0.001374,             0.83175,             0.61321,             0.72019,             0.41136,            0.050047,            0.074715,           0.0026581,           0.0081784,           0.0081784,           0.0081784
                  94,            0.028524,            0.034282,           0.0014173,             0.82779,             0.64375,             0.71357,             0.42924,            0.051441,            0.074014,           0.0027442,           0.0081586,           0.0081586,           0.0081586
                  95,            0.026935,            0.039673,           0.0014483,             0.86835,             0.64375,             0.73288,             0.46376,            0.050094,            0.073618,           0.0026451,           0.0081388,           0.0081388,           0.0081388
                  96,            0.027181,            0.038207,           0.0014543,             0.77964,             0.68813,             0.74899,             0.46287,            0.049704,            0.068245,           0.0026444,            0.008119,            0.008119,            0.008119
                  97,            0.025869,             0.03973,           0.0014184,             0.87671,             0.64909,             0.73018,             0.44992,             0.04934,            0.068346,           0.0027593,           0.0080992,           0.0080992,           0.0080992
                  98,            0.025994,            0.038335,           0.0015959,              0.7539,             0.67805,             0.72724,             0.45574,             0.04847,            0.071478,           0.0024421,           0.0080794,           0.0080794,           0.0080794
                  99,            0.027875,            0.036773,           0.0013512,             0.72546,              0.7375,             0.75563,             0.46326,            0.046645,            0.064064,           0.0021635,           0.0080596,           0.0080596,           0.0080596
                 100,            0.026432,            0.035319,           0.0016116,              0.8371,             0.66875,             0.73652,             0.48164,             0.04768,            0.072607,            0.003039,           0.0080398,           0.0080398,           0.0080398
                 101,            0.026459,            0.032472,           0.0014669,             0.83026,              0.6625,             0.74548,             0.48311,            0.045801,            0.069204,           0.0030253,             0.00802,             0.00802,             0.00802
